modelpath,core_size,utilization,bin_writes,nbins,Naive,Offline,BinAlgo,PackAlgo,SortAlgo
onnx_models/ad_quantized_int8.onnx,"(256, 256)",0.28794642857142855,15,14,True,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ad_quantized_int8.onnx,"(256, 256)",0.80625,7,5,False,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ad_quantized_int8.onnx,"(256, 256)",0.80625,6,5,False,True,BNF,MaxRectsBssf,SORT_NONE
onnx_models/ad_quantized_int8.onnx,"(256, 256)",0.80625,7,5,False,True,BFF,MaxRectsBssf,SORT_NONE
onnx_models/ad_quantized_int8.onnx,"(256, 256)",0.80625,7,5,False,False,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ad_quantized_int8.onnx,"(256, 256)",0.80625,6,5,False,False,BNF,MaxRectsBssf,SORT_NONE
onnx_models/ad_quantized_int8.onnx,"(256, 256)",0.80625,7,5,False,False,BFF,MaxRectsBssf,SORT_NONE
onnx_models/ad_quantized_int8.onnx,"(512, 512)",0.083984375,13,12,True,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ad_quantized_int8.onnx,"(512, 512)",0.50390625,4,2,False,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ad_quantized_int8.onnx,"(512, 512)",0.50390625,3,2,False,True,BNF,MaxRectsBssf,SORT_NONE
onnx_models/ad_quantized_int8.onnx,"(512, 512)",0.50390625,4,2,False,True,BFF,MaxRectsBssf,SORT_NONE
onnx_models/ad_quantized_int8.onnx,"(512, 512)",0.50390625,4,2,False,False,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ad_quantized_int8.onnx,"(512, 512)",0.50390625,3,2,False,False,BNF,MaxRectsBssf,SORT_NONE
onnx_models/ad_quantized_int8.onnx,"(512, 512)",0.50390625,4,2,False,False,BFF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(256, 256)",0.050130208333333336,7,6,True,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(256, 256)",0.30078125,2,1,False,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(256, 256)",0.30078125,2,1,False,True,BNF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(256, 256)",0.30078125,2,1,False,True,BFF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(256, 256)",0.30078125,2,1,False,False,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(256, 256)",0.30078125,2,1,False,False,BNF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(256, 256)",0.30078125,2,1,False,False,BFF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(512, 512)",0.012532552083333334,7,6,True,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(512, 512)",0.0751953125,2,1,False,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(512, 512)",0.0751953125,2,1,False,True,BNF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(512, 512)",0.0751953125,2,1,False,True,BFF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(512, 512)",0.0751953125,2,1,False,False,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(512, 512)",0.0751953125,2,1,False,False,BNF,MaxRectsBssf,SORT_NONE
onnx_models/ks_quantized_int8.onnx,"(512, 512)",0.0751953125,2,1,False,False,BFF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(256, 256)",0.3585540436126374,92,91,True,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(256, 256)",0.81571044921875,71,40,False,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(256, 256)",0.6156305277122641,54,53,False,True,BNF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(256, 256)",0.7958150724085366,73,41,False,True,BFF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(256, 256)",0.81571044921875,71,40,False,False,BBF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(256, 256)",0.6156305277122641,54,53,False,False,BNF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(256, 256)",0.7958150724085366,73,41,False,False,BFF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(512, 512)",0.15686739408052885,53,52,True,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(512, 512)",0.7415549538352273,31,11,False,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(512, 512)",0.4531724717881944,19,18,False,True,BNF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(512, 512)",0.7415549538352273,32,11,False,True,BFF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(512, 512)",0.7415549538352273,31,11,False,False,BBF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(512, 512)",0.4531724717881944,19,18,False,False,BNF,MaxRectsBssf,SORT_NONE
onnx_models/mbv2_cifar10_int8.onnx,"(512, 512)",0.7415549538352273,32,11,False,False,BFF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(256, 256)",0.09952799479166667,16,15,True,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(256, 256)",0.7464599609375,6,2,False,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(256, 256)",0.7464599609375,3,2,False,True,BNF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(256, 256)",0.7464599609375,6,2,False,True,BFF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(256, 256)",0.7464599609375,6,2,False,False,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(256, 256)",0.7464599609375,3,2,False,False,BNF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(256, 256)",0.7464599609375,6,2,False,False,BFF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(512, 512)",0.033929998224431816,12,11,True,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(512, 512)",0.37322998046875,2,1,False,True,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(512, 512)",0.37322998046875,2,1,False,True,BNF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(512, 512)",0.37322998046875,2,1,False,True,BFF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(512, 512)",0.37322998046875,2,1,False,False,BBF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(512, 512)",0.37322998046875,2,1,False,False,BNF,MaxRectsBssf,SORT_NONE
onnx_models/ic_quantized_int8.onnx,"(512, 512)",0.37322998046875,2,1,False,False,BFF,MaxRectsBssf,SORT_NONE
